id,Date,Venue,Round,Round.Number,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Margin
251,"2016-04-25 15:20:00",M.C.G.,R5,5,Collingwood,22,10,142,Essendon,11,7,73,69
252,"2016-04-29 19:50:00",Docklands,R6,6,"North Melbourne",9,7,61,Footscray,6,9,45,16
253,"2016-04-30 13:40:00",Docklands,R6,6,Melbourne,15,6,96,"St Kilda",20,15,135,-39
254,"2016-04-30 13:45:00","Adelaide Oval",R6,6,Adelaide,14,13,97,Fremantle,8,16,64,33
255,"2016-04-30 16:35:00","Sydney Showground",R6,6,GWS,24,14,158,Hawthorn,12,11,83,75
256,"2016-04-30 19:25:00","Kardinia Park",R6,6,Geelong,25,18,168,"Gold Coast",7,6,48,120
257,"2016-04-30 19:25:00",M.C.G.,R6,6,Richmond,8,11,59,"Port Adelaide",13,16,94,-35
258,"2016-05-01 13:10:00",Gabba,R6,6,"Brisbane Lions",14,10,94,Sydney,15,7,97,-3
259,"2016-05-01 14:40:00",M.C.G.,R6,6,Carlton,10,12,72,Essendon,8,9,57,15
260,"2016-05-01 15:20:00",Subiaco,R6,6,"West Coast",18,16,124,Collingwood,9,8,62,62
261,"2016-05-06 19:50:00",M.C.G.,R7,7,Richmond,13,12,90,Hawthorn,21,10,136,-46
262,"2016-05-07 13:45:00",M.C.G.,R7,7,Collingwood,12,12,84,Carlton,15,9,99,-15
263,"2016-05-07 14:10:00","Kardinia Park",R7,7,Geelong,18,15,123,"West Coast",12,7,79,44
264,"2016-05-07 16:35:00",S.C.G.,R7,7,Sydney,20,15,135,Essendon,7,12,54,81
265,"2016-05-07 17:10:00",Carrara,R7,7,"Gold Coast",14,3,87,Melbourne,24,16,160,-73
266,"2016-05-07 18:10:00",Docklands,R7,7,Footscray,18,15,123,Adelaide,17,6,108,15
267,"2016-05-07 19:40:00",Subiaco,R7,7,Fremantle,11,11,77,GWS,14,11,95,-18
268,"2016-05-08 15:20:00",Docklands,R7,7,"St Kilda",11,9,75,"North Melbourne",11,16,82,-7
269,"2016-05-08 16:10:00","Adelaide Oval",R7,7,"Port Adelaide",21,10,136,"Brisbane Lions",7,17,59,77
270,"2016-05-13 19:20:00","Adelaide Oval",R8,8,Adelaide,11,6,72,Geelong,13,20,98,-26
271,"2016-05-14 13:45:00",Docklands,R8,8,Essendon,8,12,60,"North Melbourne",10,14,74,-14
272,"2016-05-14 14:10:00","York Park",R8,8,Hawthorn,17,14,116,Fremantle,11,9,75,41
273,"2016-05-14 16:35:00","Sydney Showground",R8,8,GWS,22,17,149,"Gold Coast",9,4,58,91
274,"2016-05-14 19:25:00",Gabba,R8,8,"Brisbane Lions",10,5,65,Collingwood,20,23,143,-78
275,"2016-05-14 19:25:00",M.C.G.,R8,8,Richmond,14,17,101,Sydney,15,10,100,1
276,"2016-05-15 13:10:00",Docklands,R8,8,Carlton,14,9,93,"Port Adelaide",13,13,91,2
277,"2016-05-15 14:40:00",M.C.G.,R8,8,Melbourne,12,10,82,Footscray,17,12,114,-32
278,"2016-05-15 15:20:00",Subiaco,R8,8,"West Coast",20,12,132,"St Kilda",3,11,29,103
279,"2016-05-20 19:50:00",M.C.G.,R9,9,Hawthorn,7,13,55,Sydney,10,9,69,-14
280,"2016-05-21 13:45:00",M.C.G.,R9,9,Collingwood,16,8,104,Geelong,11,14,80,24
281,"2016-05-21 14:10:00",Carrara,R9,9,"Gold Coast",11,8,74,Adelaide,22,17,149,-75
282,"2016-05-21 16:05:00","Adelaide Oval",R9,9,"Port Adelaide",13,8,86,"West Coast",14,10,94,-8
283,"2016-05-21 17:40:00",Docklands,R9,9,"North Melbourne",17,11,113,Carlton,6,10,46,67
284,"2016-05-21 19:25:00",Subiaco,R9,9,Fremantle,6,9,45,Richmond,11,17,83,-38
285,"2016-05-22 13:10:00",M.C.G.,R9,9,Melbourne,19,17,131,"Brisbane Lions",9,14,68,63
286,"2016-05-22 15:20:00","Sydney Showground",R9,9,GWS,15,8,98,Footscray,10,13,73,25
287,"2016-05-22 16:40:00",Docklands,R9,9,"St Kilda",16,13,109,Essendon,9,9,63,46
288,"2016-05-27 19:50:00",S.C.G.,R10,10,Sydney,14,7,91,"North Melbourne",9,11,65,26
289,"2016-05-28 13:40:00",Gabba,R10,10,"Brisbane Lions",13,9,87,Hawthorn,21,9,135,-48
290,"2016-05-28 13:45:00","Traeger Park",R10,10,Melbourne,10,16,76,"Port Adelaide",18,13,121,-45
291,"2016-05-28 16:35:00",Docklands,R10,10,"St Kilda",15,11,101,Fremantle,10,7,67,34
292,"2016-05-28 19:10:00",M.C.G.,R10,10,Essendon,10,7,67,Richmond,16,9,105,-38
293,"2016-05-28 19:25:00","Adelaide Oval",R10,10,Adelaide,15,17,107,GWS,13,7,85,22
294,"2016-05-29 13:10:00",Docklands,R10,10,Carlton,16,8,104,Geelong,12,13,85,19
295,"2016-05-29 14:40:00",M.C.G.,R10,10,Collingwood,7,11,53,Footscray,11,8,74,-21
296,"2016-05-29 15:20:00",Subiaco,R10,10,"West Coast",20,12,132,"Gold Coast",7,13,55,77
297,"2016-06-03 19:50:00","Bellerive Oval",R11,11,"North Melbourne",18,16,124,Richmond,7,12,54,70
298,"2016-06-04 13:45:00",M.C.G.,R11,11,Hawthorn,11,16,82,Melbourne,10,4,64,18
299,"2016-06-04 14:10:00",Docklands,R11,11,Carlton,16,6,102,"Brisbane Lions",9,10,64,38
300,"2016-06-04 16:35:00","Kardinia Park",R11,11,Geelong,14,14,98,GWS,14,4,88,10
301,"2016-06-04 17:40:00",Carrara,R11,11,"Gold Coast",6,5,41,Sydney,11,13,79,-38
302,"2016-06-04 19:25:00",Subiaco,R11,11,Fremantle,20,6,126,Essendon,6,11,47,79
303,"2016-06-05 13:10:00",M.C.G.,R11,11,Collingwood,7,16,58,"Port Adelaide",19,11,125,-67
304,"2016-06-05 15:20:00",Docklands,R11,11,Footscray,12,11,83,"West Coast",11,9,75,8
305,"2016-06-05 16:10:00","Adelaide Oval",R11,11,Adelaide,19,19,133,"St Kilda",6,9,45,88
306,"2016-06-10 19:50:00",Docklands,R12,12,Essendon,6,7,43,Hawthorn,23,13,151,-108
307,"2016-06-11 13:10:00","Adelaide Oval",R12,12,"Port Adelaide",14,13,97,Footscray,15,10,100,-3
308,"2016-06-11 16:35:00",Gabba,R12,12,"Brisbane Lions",9,10,64,Fremantle,23,9,147,-83
309,"2016-06-11 17:40:00",Docklands,R12,12,Geelong,15,15,105,"North Melbourne",12,2,74,31
310,"2016-06-11 19:25:00",Subiaco,R12,12,"West Coast",11,10,76,Adelaide,15,15,105,-29
311,"2016-06-12 13:10:00",Docklands,R12,12,"St Kilda",17,8,110,Carlton,12,6,78,32
312,"2016-06-12 15:20:00",M.C.G.,R12,12,Richmond,17,12,114,"Gold Coast",15,7,97,17
313,"2016-06-12 16:40:00","Sydney Showground",R12,12,GWS,15,15,105,Sydney,9,9,63,42
314,"2016-06-13 15:20:00",M.C.G.,R12,12,Melbourne,16,8,104,Collingwood,8,10,58,46
315,"2016-06-17 19:50:00",Docklands,R13,13,"North Melbourne",11,18,84,Hawthorn,14,9,93,-9
316,"2016-06-18 13:40:00",Gabba,R13,13,"Brisbane Lions",12,10,82,"West Coast",20,11,131,-49
317,"2016-06-18 14:35:00",Subiaco,R13,13,Fremantle,12,14,86,"Port Adelaide",9,15,69,17
318,"2016-06-18 19:25:00",Docklands,R13,13,Footscray,5,13,43,Geelong,16,4,100,-57
319,"2016-06-19 13:10:00",S.C.G.,R13,13,Sydney,12,14,86,Melbourne,4,7,31,55
320,"2016-06-19 16:40:00",Docklands,R13,13,Essendon,12,18,90,GWS,17,15,117,-27
321,"2016-06-23 19:20:00","Adelaide Oval",R14,14,Adelaide,12,28,100,"North Melbourne",10,7,67,33
322,"2016-06-24 19:50:00",M.C.G.,R14,14,Collingwood,12,13,85,Fremantle,5,7,37,48
323,"2016-06-25 13:40:00",M.C.G.,R14,14,Richmond,17,15,117,"Brisbane Lions",11,9,75,42
324,"2016-06-25 16:35:00","Sydney Showground",R14,14,GWS,18,19,127,Carlton,9,11,65,62
325,"2016-06-25 19:25:00",Docklands,R14,14,"St Kilda",14,9,93,Geelong,13,12,90,3
326,"2016-06-26 15:20:00","York Park",R14,14,Hawthorn,12,14,86,"Gold Coast",8,12,60,26
327,"2016-06-30 18:10:00",Subiaco,R15,15,"West Coast",20,10,130,Essendon,7,10,52,78
328,"2016-07-01 19:20:00","Adelaide Oval",R15,15,"Port Adelaide",14,10,94,Richmond,8,8,56,38
329,"2016-07-02 13:40:00",Carrara,R15,15,"Gold Coast",15,18,108,"St Kilda",8,20,68,40
330,"2016-07-02 16:35:00",S.C.G.,R15,15,Sydney,11,13,79,Footscray,13,5,83,-4
331,"2016-07-02 19:25:00",M.C.G.,R15,15,Carlton,6,9,45,Collingwood,8,9,57,-12
332,"2016-07-03 15:20:00",M.C.G.,R15,15,Melbourne,15,8,98,Adelaide,18,12,120,-22
333,"2016-07-07 19:20:00","Adelaide Oval",R16,16,"Port Adelaide",12,7,79,Hawthorn,15,11,101,-22
334,"2016-07-08 19:50:00","Kardinia Park",R16,16,Geelong,9,6,60,Sydney,15,8,98,-38
335,"2016-07-09 13:40:00","Sydney Showground",R16,16,GWS,14,9,93,Collingwood,19,11,125,-32
336,"2016-07-09 16:35:00",Carrara,R16,16,"Gold Coast",22,7,139,"Brisbane Lions",17,11,113,26
337,"2016-07-09 19:10:00",Docklands,R16,16,Footscray,12,13,85,Richmond,11,9,75,10
338,"2016-07-09 19:25:00","Marrara Oval",R16,16,Melbourne,12,15,87,Fremantle,8,7,55,32
339,"2016-07-10 13:10:00",M.C.G.,R16,16,Carlton,7,5,47,Adelaide,16,11,107,-60
340,"2016-07-10 13:20:00",Subiaco,R16,16,"West Coast",16,8,104,"North Melbourne",11,6,72,32
341,"2016-07-10 16:40:00",Docklands,R16,16,Essendon,14,14,98,"St Kilda",17,7,109,-11
342,"2016-07-14 19:20:00",S.C.G.,R17,17,Sydney,10,10,70,Hawthorn,11,9,75,-5
343,"2016-07-15 18:10:00",Subiaco,R17,17,Fremantle,9,7,61,Geelong,11,12,78,-17
344,"2016-07-16 13:40:00",M.C.G.,R17,17,Richmond,16,6,102,Essendon,11,17,83,19
345,"2016-07-16 16:35:00",Docklands,R17,17,"North Melbourne",10,17,77,"Port Adelaide",16,9,105,-28
346,"2016-07-16 19:10:00","Cazaly's Stadium",R17,17,Footscray,15,17,107,"Gold Coast",8,11,59,48
347,"2016-07-16 19:25:00","Adelaide Oval",R17,17,Adelaide,14,13,97,Collingwood,10,9,69,28
348,"2016-07-17 13:10:00",M.C.G.,R17,17,Carlton,11,9,75,"West Coast",12,10,82,-7
349,"2016-07-17 15:20:00",Docklands,R17,17,"St Kilda",15,20,110,Melbourne,11,8,74,36
350,"2016-07-17 16:40:00",Gabba,R17,17,"Brisbane Lions",9,13,67,GWS,22,14,146,-79
351,"2016-07-22 19:50:00",Docklands,R18,18,Collingwood,12,12,84,"North Melbourne",18,16,124,-40
352,"2016-07-23 13:45:00",S.C.G.,R18,18,Sydney,10,14,74,Carlton,10,8,68,6
353,"2016-07-23 14:10:00",Carrara,R18,18,"Gold Coast",16,9,105,Fremantle,12,9,81,24
354,"2016-07-23 14:35:00",Subiaco,R18,18,"West Coast",10,6,66,Melbourne,8,12,60,6
355,"2016-07-23 19:25:00","Kardinia Park",R18,18,Geelong,12,13,85,Adelaide,7,13,55,30
356,"2016-07-23 19:25:00",Docklands,R18,18,Footscray,9,6,60,"St Kilda",11,9,75,-15
357,"2016-07-24 13:10:00",Docklands,R18,18,Essendon,12,19,91,"Brisbane Lions",20,8,128,-37
358,"2016-07-24 15:20:00",M.C.G.,R18,18,Hawthorn,16,18,114,Richmond,5,14,44,70
359,"2016-07-24 16:10:00","Adelaide Oval",R18,18,"Port Adelaide",9,6,60,GWS,11,13,79,-19
360,"2016-07-29 19:50:00","Kardinia Park",R19,19,Geelong,16,7,103,Footscray,11,12,78,25
361,"2016-07-30 13:45:00","Manuka Oval",R19,19,GWS,17,9,111,Richmond,3,5,23,88
362,"2016-07-30 14:10:00","York Park",R19,19,Hawthorn,10,14,74,Carlton,7,13,55,19
363,"2016-07-30 16:35:00",M.C.G.,R19,19,Collingwood,13,13,91,"West Coast",11,6,72,19
364,"2016-07-30 19:25:00",Docklands,R19,19,"North Melbourne",12,13,85,"St Kilda",8,14,62,23
365,"2016-07-30 19:25:00",Gabba,R19,19,"Brisbane Lions",11,13,79,"Port Adelaide",25,23,173,-94
366,"2016-07-31 13:10:00",M.C.G.,R19,19,Melbourne,9,12,66,"Gold Coast",9,10,64,2
367,"2016-07-31 13:20:00",Subiaco,R19,19,Fremantle,7,5,47,Sydney,21,11,137,-90
368,"2016-07-31 16:10:00","Adelaide Oval",R19,19,Adelaide,22,11,143,Essendon,9,7,61,82
369,"2016-08-05 19:50:00",M.C.G.,R20,20,Richmond,14,8,92,Collingwood,11,11,77,15
370,"2016-08-06 13:45:00",S.C.G.,R20,20,Sydney,14,16,100,"Port Adelaide",4,9,33,67
371,"2016-08-06 14:10:00",M.C.G.,R20,20,Melbourne,17,8,110,Hawthorn,11,15,81,29
372,"2016-08-06 16:35:00",Carrara,R20,20,"Gold Coast",13,6,84,GWS,14,8,92,-8
373,"2016-08-06 19:10:00",Docklands,R20,20,Footscray,9,7,61,"North Melbourne",7,5,47,14
374,"2016-08-06 19:25:00","Adelaide Oval",R20,20,Adelaide,27,15,177,"Brisbane Lions",6,3,39,138
375,"2016-08-07 13:10:00",M.C.G.,R20,20,Carlton,7,9,51,"St Kilda",19,8,122,-71
376,"2016-08-07 14:40:00",Docklands,R20,20,Geelong,15,10,100,Essendon,4,10,34,66
377,"2016-08-07 15:20:00",Subiaco,R20,20,Fremantle,9,10,64,"West Coast",17,8,110,-46
378,"2016-08-12 19:50:00",Docklands,R21,21,Footscray,14,11,95,Collingwood,14,8,92,3
379,"2016-08-13 13:45:00",Gabba,R21,21,"Brisbane Lions",15,9,99,Carlton,13,17,95,4
380,"2016-08-13 14:10:00",M.C.G.,R21,21,Hawthorn,14,12,96,"North Melbourne",8,9,57,39
381,"2016-08-13 16:35:00","Sydney Showground",R21,21,GWS,14,12,96,"West Coast",14,13,97,-1
382,"2016-08-13 19:10:00",Docklands,R21,21,"St Kilda",11,10,76,Sydney,23,8,146,-70
383,"2016-08-13 19:25:00","Adelaide Oval",R21,21,"Port Adelaide",8,6,54,Melbourne,13,16,94,-40
384,"2016-08-14 13:10:00",Docklands,R21,21,Essendon,11,9,75,"Gold Coast",9,15,69,6
385,"2016-08-14 14:40:00",M.C.G.,R21,21,Richmond,12,6,78,Geelong,10,22,82,-4
386,"2016-08-14 15:20:00",Subiaco,R21,21,Fremantle,11,4,70,Adelaide,21,16,142,-72
387,"2016-08-19 18:10:00",Subiaco,R22,22,"West Coast",13,14,92,Hawthorn,10,7,67,25
388,"2016-08-20 13:45:00","Bellerive Oval",R22,22,"North Melbourne",10,16,76,Sydney,12,13,85,-9
389,"2016-08-20 14:10:00",M.C.G.,R22,22,Richmond,6,10,46,"St Kilda",7,13,55,-9
390,"2016-08-20 16:35:00","Sydney Showground",R22,22,GWS,19,15,129,Fremantle,5,7,37,92
391,"2016-08-20 19:10:00",Docklands,R22,22,Collingwood,16,22,118,"Gold Coast",6,11,47,71
392,"2016-08-20 19:25:00","Adelaide Oval",R22,22,"Port Adelaide",14,10,94,Adelaide,15,19,109,-15
393,"2016-08-21 13:10:00",M.C.G.,R22,22,Carlton,11,12,78,Melbourne,7,16,58,20
394,"2016-08-21 15:20:00",Gabba,R22,22,"Brisbane Lions",10,9,69,Geelong,19,15,129,-60
395,"2016-08-21 16:40:00",Docklands,R22,22,Essendon,7,11,53,Footscray,14,9,93,-40
396,"2016-08-26 19:40:00","Adelaide Oval",R23,23,Adelaide,10,11,71,"West Coast",14,16,100,-29
397,"2016-08-27 13:45:00","Kardinia Park",R23,23,Geelong,24,11,155,Melbourne,6,8,44,111
398,"2016-08-27 14:10:00",M.C.G.,R23,23,Essendon,15,13,103,Carlton,10,19,79,24
399,"2016-08-27 16:35:00",S.C.G.,R23,23,Sydney,25,14,164,Richmond,7,9,51,113
400,"2016-08-27 19:25:00",Docklands,R23,23,"North Melbourne",9,9,63,GWS,14,16,100,-37
401,"2016-08-27 19:25:00",Carrara,R23,23,"Gold Coast",9,12,66,"Port Adelaide",13,11,89,-23
402,"2016-08-28 13:10:00",Docklands,R23,23,"St Kilda",25,11,161,"Brisbane Lions",15,13,103,58
403,"2016-08-28 14:40:00",M.C.G.,R23,23,Hawthorn,17,10,112,Collingwood,17,9,111,1
404,"2016-08-28 15:20:00",Subiaco,R23,23,Fremantle,10,9,69,Footscray,6,13,49,20
405,"2016-09-08 18:10:00",Subiaco,EF,24,Footscray,14,15,99,"West Coast",7,10,52,47
406,"2016-09-09 19:50:00",M.C.G.,QF,24,Geelong,12,13,85,Hawthorn,12,11,83,2
407,"2016-09-10 15:20:00","Stadium Australia",QF,24,GWS,12,19,91,Sydney,7,13,55,36
408,"2016-09-10 19:10:00","Adelaide Oval",EF,24,Adelaide,21,15,141,"North Melbourne",12,7,79,62
409,"2016-09-16 19:50:00",M.C.G.,SF,25,Footscray,16,11,107,Hawthorn,12,12,84,23
410,"2016-09-17 19:25:00",S.C.G.,SF,25,Sydney,18,10,118,Adelaide,12,10,82,36
411,"2016-09-23 19:50:00",M.C.G.,PF,26,Sydney,15,7,97,Geelong,8,12,60,37
412,"2016-09-24 19:15:00","Sydney Showground",PF,26,Footscray,13,11,89,GWS,12,11,83,6
413,"2016-10-01 14:30:00",M.C.G.,GF,27,Footscray,13,11,89,Sydney,10,7,67,22
414,"2017-03-23 19:20:00",M.C.G.,R1,1,Carlton,14,5,89,Richmond,20,12,132,-43
415,"2017-03-24 19:50:00",M.C.G.,R1,1,Collingwood,12,14,86,Footscray,15,10,100,-14
416,"2017-03-25 16:35:00",Docklands,R1,1,"St Kilda",13,12,90,Melbourne,18,12,120,-30
417,"2017-03-25 16:35:00",S.C.G.,R1,1,Sydney,12,10,82,"Port Adelaide",17,8,110,-28
418,"2017-03-25 19:05:00",M.C.G.,R1,1,Essendon,17,14,116,Hawthorn,12,19,91,25
419,"2017-03-25 19:25:00",Carrara,R1,1,"Gold Coast",14,12,96,"Brisbane Lions",15,8,98,-2
420,"2017-03-26 13:10:00",Docklands,R1,1,"North Melbourne",13,15,93,"West Coast",21,10,136,-43
421,"2017-03-26 14:50:00","Adelaide Oval",R1,1,Adelaide,22,15,147,GWS,14,7,91,56
422,"2017-03-26 16:40:00",Subiaco,R1,1,Fremantle,10,13,73,Geelong,18,7,115,-42
423,"2017-03-30 19:20:00",M.C.G.,R2,2,Richmond,14,15,99,Collingwood,11,14,80,19
424,"2017-03-31 19:50:00",Docklands,R2,2,Footscray,16,14,110,Sydney,13,9,87,23
425,"2017-04-01 13:45:00",M.C.G.,R2,2,Hawthorn,13,11,89,Adelaide,16,17,113,-24
426,"2017-04-01 16:35:00","Sydney Showground",R2,2,GWS,24,16,160,"Gold Coast",8,10,58,102
427,"2017-04-01 16:40:00",Gabba,R2,2,"Brisbane Lions",12,12,84,Essendon,17,9,111,-27
428,"2017-04-01 18:25:00",Subiaco,R2,2,"West Coast",18,8,116,"St Kilda",13,19,97,19
429,"2017-04-02 13:10:00",Docklands,R2,2,Geelong,17,10,112,"North Melbourne",17,9,111,1
430,"2017-04-02 15:20:00",M.C.G.,R2,2,Melbourne,13,8,86,Carlton,9,10,64,22
431,"2017-04-02 16:10:00","Adelaide Oval",R2,2,"Port Adelaide",22,13,145,Fremantle,8,8,56,89
432,"2017-04-07 19:50:00",S.C.G.,R3,3,Sydney,11,13,79,Collingwood,11,14,80,-1
433,"2017-04-08 13:45:00","Bellerive Oval",R3,3,"North Melbourne",10,7,67,GWS,15,19,109,-42
434,"2017-04-08 14:10:00",M.C.G.,R3,3,Richmond,11,10,76,"West Coast",8,17,65,11
435,"2017-04-08 16:35:00",Docklands,R3,3,Geelong,20,6,126,Melbourne,13,19,97,29
436,"2017-04-08 17:40:00","Adelaide Oval",R3,3,"Port Adelaide",12,11,83,Adelaide,15,10,100,-17
437,"2017-04-08 19:10:00",Subiaco,R3,3,Fremantle,13,11,89,Footscray,10,13,73,16
438,"2017-04-09 13:10:00",Docklands,R3,3,"St Kilda",14,23,107,"Brisbane Lions",11,10,76,31
439,"2017-04-09 15:20:00",M.C.G.,R3,3,Carlton,7,15,57,Essendon,6,6,42,15
440,"2017-04-09 16:40:00",Carrara,R3,3,"Gold Coast",21,13,139,Hawthorn,7,11,53,86
441,"2017-04-13 18:10:00",Subiaco,R4,4,"West Coast",13,13,91,Sydney,10,5,65,26
442,"2017-04-14 16:20:00",Docklands,R4,4,"North Melbourne",12,14,86,Footscray,12,17,89,-3
443,"2017-04-15 13:45:00",M.C.G.,R4,4,Melbourne,15,14,104,Fremantle,16,10,106,-2
444,"2017-04-15 16:35:00","Manuka Oval",R4,4,GWS,16,16,112,"Port Adelaide",11,15,81,31
445,"2017-04-15 19:10:00",Docklands,R4,4,Carlton,12,10,82,"Gold Coast",17,6,108,-26
446,"2017-04-15 19:25:00","Adelaide Oval",R4,4,Adelaide,24,9,153,Essendon,13,10,88,65
447,"2017-04-16 15:20:00",Docklands,R4,4,Collingwood,7,13,55,"St Kilda",9,15,69,-14
448,"2017-04-16 16:40:00",Gabba,R4,4,"Brisbane Lions",10,7,67,Richmond,17,17,119,-52
449,"2017-04-17 15:20:00",M.C.G.,R4,4,Hawthorn,6,12,48,Geelong,20,14,134,-86
450,"2017-04-21 19:20:00","Adelaide Oval",R5,5,"Port Adelaide",20,17,137,Carlton,6,11,47,90
451,"2017-04-22 13:45:00",Docklands,R5,5,Footscray,17,20,122,"Brisbane Lions",14,6,90,32
452,"2017-04-22 16:35:00",Carrara,R5,5,"Gold Coast",13,8,86,Adelaide,23,15,153,-67
453,"2017-04-22 17:40:00",S.C.G.,R5,5,Sydney,9,9,63,GWS,15,15,105,-42
454,"2017-04-22 19:25:00",Subiaco,R5,5,Fremantle,9,13,67,"North Melbourne",9,8,62,5
455,"2017-04-23 15:20:00",Docklands,R5,5,"St Kilda",13,10,88,Geelong,19,12,126,-38
456,"2017-04-23 16:40:00",M.C.G.,R5,5,Hawthorn,19,11,125,"West Coast",11,9,75,50
457,"2017-04-24 19:25:00",M.C.G.,R5,5,Richmond,12,16,88,Melbourne,11,9,75,13
458,"2017-04-25 15:20:00",M.C.G.,R5,5,Essendon,15,10,100,Collingwood,11,16,82,18
459,"2017-04-28 19:50:00","Manuka Oval",R6,6,GWS,11,9,75,Footscray,9,19,73,2
460,"2017-04-29 13:45:00","York Park",R6,6,Hawthorn,8,7,55,"St Kilda",19,16,130,-75
461,"2017-04-29 14:10:00",M.C.G.,R6,6,Carlton,15,7,97,Sydney,11,12,78,19
462,"2017-04-29 16:35:00",Gabba,R6,6,"Brisbane Lions",10,7,67,"Port Adelaide",22,18,150,-83
463,"2017-04-29 18:10:00",Docklands,R6,6,"North Melbourne",16,11,107,"Gold Coast",14,10,94,13
464,"2017-04-29 19:25:00",Subiaco,R6,6,"West Coast",16,7,103,Fremantle,9,8,62,41
465,"2017-04-30 13:10:00",Docklands,R6,6,Essendon,10,14,74,Melbourne,17,10,112,-38
466,"2017-04-30 15:20:00",M.C.G.,R6,6,Geelong,11,12,78,Collingwood,15,17,107,-29
467,"2017-04-30 16:10:00","Adelaide Oval",R6,6,Adelaide,21,14,140,Richmond,10,4,64,76
468,"2017-05-05 19:50:00",Docklands,R7,7,"St Kilda",16,12,108,GWS,12,13,85,23
469,"2017-05-06 13:45:00","Bellerive Oval",R7,7,"North Melbourne",22,13,145,Adelaide,13,8,86,59
470,"2017-05-06 14:10:00",M.C.G.,R7,7,Collingwood,8,8,56,Carlton,12,7,79,-23
471,"2017-05-06 16:05:00","Adelaide Oval",R7,7,"Port Adelaide",12,15,87,"West Coast",15,7,97,-10
472,"2017-05-06 19:25:00",Docklands,R7,7,Footscray,11,14,80,Richmond,11,9,75,5
473,"2017-05-06 19:25:00",Carrara,R7,7,"Gold Coast",18,16,124,Geelong,15,9,99,25
474,"2017-05-07 13:10:00",S.C.G.,R7,7,Sydney,20,15,135,"Brisbane Lions",12,9,81,54
475,"2017-05-07 14:40:00",M.C.G.,R7,7,Melbourne,14,7,91,Hawthorn,14,10,94,-3
476,"2017-05-07 15:20:00",Subiaco,R7,7,Fremantle,17,14,116,Essendon,11,13,79,37
477,"2017-05-12 18:10:00",Subiaco,R8,8,"West Coast",9,15,69,Footscray,8,13,61,8
478,"2017-05-13 13:45:00","York Park",R8,8,Hawthorn,17,11,113,"Brisbane Lions",11,9,75,38
479,"2017-05-13 14:10:00",Docklands,R8,8,"St Kilda",12,13,85,Carlton,10,6,66,19
480,"2017-05-13 16:35:00","Sydney Showground",R8,8,GWS,15,12,102,Collingwood,15,9,99,3
481,"2017-05-13 19:10:00",M.C.G.,R8,8,Essendon,17,8,110,Geelong,13,15,93,17
482,"2017-05-13 19:25:00","Adelaide Oval",R8,8,Adelaide,9,12,66,Melbourne,17,5,107,-41
483,"2017-05-14 13:10:00","Jiangwan Stadium",R8,8,"Gold Coast",4,14,38,"Port Adelaide",16,14,110,-72
484,"2017-05-14 13:15:00",M.C.G.,R8,8,Richmond,10,10,70,Fremantle,10,12,72,-2
485,"2017-05-14 16:40:00",Docklands,R8,8,"North Melbourne",11,12,78,Sydney,18,12,120,-42
486,"2017-05-19 19:50:00","Kardinia Park",R9,9,Geelong,16,8,104,Footscray,12,9,81,23
487,"2017-05-20 13:45:00",Docklands,R9,9,"St Kilda",10,8,68,Sydney,18,10,118,-50
488,"2017-05-20 16:35:00","Sydney Showground",R9,9,GWS,11,12,78,Richmond,10,15,75,3
489,"2017-05-20 19:25:00",Gabba,R9,9,"Brisbane Lions",7,18,60,Adelaide,21,14,140,-80
490,"2017-05-20 19:25:00",M.C.G.,R9,9,Collingwood,13,12,90,Hawthorn,11,6,72,18
491,"2017-05-21 13:10:00",Docklands,R9,9,Essendon,19,11,125,"West Coast",8,16,64,61
492,"2017-05-21 14:40:00",M.C.G.,R9,9,Melbourne,13,12,90,"North Melbourne",15,14,104,-14
493,"2017-05-21 15:20:00",Subiaco,R9,9,Fremantle,13,8,86,Carlton,7,9,51,35
494,"2017-05-25 19:20:00","Kardinia Park",R10,10,Geelong,11,15,81,"Port Adelaide",11,13,79,2
495,"2017-05-26 19:50:00",S.C.G.,R10,10,Sydney,11,9,75,Hawthorn,12,9,81,-6
496,"2017-05-27 13:45:00",Docklands,R10,10,Footscray,13,12,90,"St Kilda",7,8,50,40
497,"2017-05-27 16:05:00","Traeger Park",R10,10,Melbourne,18,14,122,"Gold Coast",13,9,87,35
498,"2017-05-27 19:10:00",M.C.G.,R10,10,Richmond,11,15,81,Essendon,10,6,66,15
499,"2017-05-27 19:25:00","Adelaide Oval",R10,10,Adelaide,20,23,143,Fremantle,6,7,43,100
500,"2017-05-28 13:10:00",M.C.G.,R10,10,Collingwood,18,21,129,"Brisbane Lions",13,6,84,45
501,"2017-05-28 14:40:00",Docklands,R10,10,Carlton,15,6,96,"North Melbourne",17,11,113,-17
502,"2017-05-28 15:20:00",Subiaco,R10,10,"West Coast",14,6,90,GWS,14,14,98,-8
503,"2017-06-01 19:20:00","Adelaide Oval",R11,11,"Port Adelaide",13,20,98,Hawthorn,7,5,47,51
504,"2017-06-02 19:50:00","Kardinia Park",R11,11,Geelong,13,18,96,Adelaide,10,14,74,22
505,"2017-06-03 13:45:00",Carrara,R11,11,"Gold Coast",11,14,80,"West Coast",11,11,77,3
